method,metric,median,ci_lo,ci_hi,n_runs
DREAMS,anomaly_radius_ratio_med,1.038117280035975,1.038117280035975,1.038117280035975,1
DREAMS,anomaly_radius_ratio_min,0.5323117217516024,0.5323117217516024,0.5323117217516024,1
DREAMS,attribution_accuracy,1.0,1.0,1.0,1
DREAMS,angle_to_own_med,0.8192382613295249,0.8192382613295249,0.8192382613295249,1
DREAMS,pair_angle_med,0.24032441123072268,0.24032441123072268,0.24032441123072268,1
DREAMS,add_bulk_radius_ratio,1.0659822650252058,1.0659822650252058,1.0659822650252058,1
Isomap,anomaly_radius_ratio_med,1.336735028440789,1.336735028440789,1.336735028440789,1
Isomap,anomaly_radius_ratio_min,0.7550321510130908,0.7550321510130908,0.7550321510130908,1
Isomap,attribution_accuracy,0.9,0.9,0.9,1
Isomap,angle_to_own_med,7.20326072169325,7.20326072169325,7.20326072169325,1
Isomap,pair_angle_med,1.932059983916262,1.932059983916262,1.932059983916262,1
Isomap,add_bulk_radius_ratio,1.011406057928195,1.011406057928195,1.011406057928195,1
PCA,anomaly_radius_ratio_med,0.9658987464961315,0.9658987464961315,0.9658987464961315,1
PCA,anomaly_radius_ratio_min,0.6872824739381681,0.6872824739381681,0.6872824739381681,1
PCA,attribution_accuracy,0.8,0.8,0.8,1
PCA,angle_to_own_med,3.309873814047821,3.309873814047821,3.309873814047821,1
PCA,pair_angle_med,5.024793720959487,5.024793720959487,5.024793720959487,1
PCA,add_bulk_radius_ratio,0.8744304547536493,0.8744304547536493,0.8744304547536493,1
UMAP,anomaly_radius_ratio_med,0.9711793990913422,0.9616835048181109,1.0418594931451097,3
UMAP,anomaly_radius_ratio_min,0.2814398104880297,0.261311489671004,0.4862026080218628,3
UMAP,attribution_accuracy,1.0,1.0,1.0,3
UMAP,angle_to_own_med,3.333527101489522,2.1760644617703715,3.4292182160454425,3
UMAP,pair_angle_med,1.5590724400653768,1.2196863790686165,3.801043368922828,3
UMAP,add_bulk_radius_ratio,0.9391765086258292,0.9348934318585385,1.0025443913850722,3
toorPIA,anomaly_radius_ratio_med,9.70156796345608,9.70156796345608,9.70156796345608,1
toorPIA,anomaly_radius_ratio_min,8.617001407352962,8.617001407352962,8.617001407352962,1
toorPIA,attribution_accuracy,1.0,1.0,1.0,1
toorPIA,angle_to_own_med,1.0143109961371477,1.0143109961371477,1.0143109961371477,1
toorPIA,pair_angle_med,1.729860797654708,1.729860797654708,1.729860797654708,1
toorPIA,add_bulk_radius_ratio,0.9302862945457756,0.9302862945457756,0.9302862945457756,1
