dataset,snr,method,seed,stochastic,n,d,full_shepard,within_series_shepard,within_series_near_shepard,cross_series_shepard
random_walk,inf,PCA,0,False,3000,50,0.8400133455687235,0.8950876328689774,0.6097141498593118,0.7743937387302628
random_walk,inf,Isomap,0,False,3000,50,0.6817503408171791,0.727530492015825,0.6217922541065785,0.6042162123456963
random_walk,inf,PyMDE,0,True,3000,50,0.7866097066519648,0.8224143989674063,0.5162735720052964,0.7548349181340099
random_walk,inf,PyMDE,1,True,3000,50,0.7856284871375465,0.7792493368542631,0.4962276307948467,0.7480155163280843
random_walk,inf,PyMDE,2,True,3000,50,0.7714202756124492,0.7724302540399549,0.4848454146173097,0.7518497654239584
random_walk,inf,PCC,0,True,3000,50,0.9129015232341172,0.9580253264393468,0.55796012991694,0.8836970467939509
random_walk,inf,PCC,1,True,3000,50,0.8610764800350528,0.9035955013716704,0.4702979808903121,0.8361211172470809
random_walk,inf,PCC,2,True,3000,50,0.8491562470897083,0.8926274949129296,0.4625333347424628,0.8269299758638154
random_walk,inf,t-SNE,0,True,3000,50,0.484084120346958,0.8732605058584229,0.9492591393729758,0.3241598688969989
random_walk,inf,t-SNE,1,True,3000,50,0.5235227791361805,0.8484242793208949,0.951695911664784,0.3662387143538677
random_walk,inf,t-SNE,2,True,3000,50,0.5802088638529734,0.9105249608558827,0.9505489582599418,0.4374743874739648
random_walk,inf,UMAP,0,True,3000,50,0.6301961618576439,0.854211855490426,0.8905868855734038,0.4802603568727678
random_walk,inf,UMAP,1,True,3000,50,0.571248485482571,0.7146337952571903,0.8815657156894053,0.393203608215942
random_walk,inf,UMAP,2,True,3000,50,0.6282672504180442,0.8549850511068702,0.8848629832669553,0.4774702162125577
random_walk,inf,toorPIA,0,False,3000,50,0.9240141453253246,0.9696021177465366,0.6267756289885167,0.8971992654127849
random_walk,inf,DREAMS,0,False,3000,50,0.846274894894953,0.9527598475579196,0.9521609026603831,0.777974239464208
